OriginalName,ChineseName
Battery.3dshapes,电池.3dshapes
Button_Switch_SMD.3dshapes,按键开关_贴片.3dshapes
Button_Switch_THT.3dshapes,按键开关_通孔.3dshapes
Buzzer_Beeper.3dshapes,蜂鸣器.3dshapes
Capacitor_SMD.3dshapes,电容_贴片.3dshapes
Capacitor_Tantalum_SMD.3dshapes,钽电容_贴片.3dshapes
Capacitor_THT.3dshapes,电容_通孔.3dshapes
Connector_AMASS.3dshapes,连接器_艾迈斯AMASS.3dshapes
Connector_Audio.3dshapes,连接器_音频.3dshapes
Connector_BarrelJack.3dshapes,连接器_DC圆孔电源.3dshapes
Connector_Card.3dshapes,连接器_卡座.3dshapes
Connector_Coaxial.3dshapes,连接器_同轴射频.3dshapes
Connector_DIN.3dshapes,连接器_DIN.3dshapes
Connector_Dsub.3dshapes,连接器_D-Sub.3dshapes
Connector_FFC-FPC.3dshapes,连接器_FFC-FPC.3dshapes
Connector_IDC.3dshapes,连接器_IDC.3dshapes
Connector_JST.3dshapes,连接器_JST.3dshapes
Connector_Molex.3dshapes,连接器_莫仕Molex.3dshapes
Connector_Phoenix_GMSTB.3dshapes,连接器_菲尼克斯_GMSTB.3dshapes
Connector_Phoenix_MC_HighVoltage.3dshapes,连接器_菲尼克斯_MC高压.3dshapes
Connector_Phoenix_MC.3dshapes,连接器_菲尼克斯_MC.3dshapes
Connector_Phoenix_MSTB.3dshapes,连接器_菲尼克斯_MSTB.3dshapes
Connector_Phoenix_SPT.3dshapes,连接器_菲尼克斯_SPT.3dshapes
Connector_Pin.3dshapes,连接器_插针.3dshapes
Connector_PinHeader_1.00mm.3dshapes,排针_1.00mm.3dshapes
Connector_PinHeader_1.27mm.3dshapes,排针_1.27mm.3dshapes
Connector_PinHeader_2.00mm.3dshapes,排针_2.00mm.3dshapes
Connector_PinHeader_2.54mm.3dshapes,排针_2.54mm.3dshapes
Connector_PinSocket_1.00mm.3dshapes,排母_1.00mm.3dshapes
Connector_PinSocket_1.27mm.3dshapes,排母_1.27mm.3dshapes
Connector_PinSocket_2.00mm.3dshapes,排母_2.00mm.3dshapes
Connector_PinSocket_2.54mm.3dshapes,排母_2.54mm.3dshapes
Connector_RJ.3dshapes,连接器_RJ.3dshapes
Connector_Samtec_HPM_THT.3dshapes,连接器_申泰Samtec_HPM通孔.3dshapes
Connector_Samtec.3dshapes,连接器_申泰Samtec.3dshapes
Connector_SATA_SAS.3dshapes,连接器_SATA-SAS.3dshapes
Connector_Stocko.3dshapes,连接器_斯托科Stocko.3dshapes
Connector_TE-Connectivity.3dshapes,连接器_泰科TE.3dshapes
Connector_USB.3dshapes,连接器_USB.3dshapes
Connector_Video.3dshapes,连接器_视频.3dshapes
Connector_Wuerth.3dshapes,连接器_伍尔特Wuerth.3dshapes
Connector.3dshapes,连接器_通用.3dshapes
Converter_ACDC.3dshapes,电源转换器_AC-DC.3dshapes
Converter_DCDC.3dshapes,电源转换器_DC-DC.3dshapes
Crystal.3dshapes,晶体与谐振器.3dshapes
Diode_SMD.3dshapes,二极管_贴片.3dshapes
Diode_THT.3dshapes,二极管_通孔.3dshapes
Display_7Segment.3dshapes,数码管_七段.3dshapes
Display.3dshapes,显示器件_通用.3dshapes
Ferrite_THT.3dshapes,铁氧体磁芯_通孔.3dshapes
Filter.3dshapes,滤波器.3dshapes
Fuse.3dshapes,保险丝.3dshapes
Heatsink.3dshapes,散热器.3dshapes
Inductor_SMD_Wurth.3dshapes,电感_贴片_伍尔特Wuerth.3dshapes
Inductor_SMD.3dshapes,电感_贴片.3dshapes
Inductor_THT_Wurth.3dshapes,电感_通孔_伍尔特Wuerth.3dshapes
Inductor_THT.3dshapes,电感_通孔.3dshapes
LED_SMD.3dshapes,LED_贴片.3dshapes
LED_THT.3dshapes,LED_通孔.3dshapes
Module.3dshapes,模块.3dshapes
Mounting_Wuerth.3dshapes,安装件_伍尔特Wuerth.3dshapes
MountingEquipment.3dshapes,安装件_通用.3dshapes
OptoDevice.3dshapes,光电器件.3dshapes
Oscillator.3dshapes,振荡器.3dshapes
Package_BGA.3dshapes,芯片封装_BGA.3dshapes
Package_CSP.3dshapes,芯片封装_CSP.3dshapes
Package_DFN_QFN.3dshapes,芯片封装_DFN-QFN.3dshapes
Package_DIP.3dshapes,芯片封装_DIP.3dshapes
Package_DirectFET.3dshapes,芯片封装_DirectFET.3dshapes
Package_LCC.3dshapes,芯片封装_LCC.3dshapes
Package_LGA.3dshapes,芯片封装_LGA.3dshapes
Package_QFP.3dshapes,芯片封装_QFP.3dshapes
Package_SIP.3dshapes,芯片封装_SIP.3dshapes
Package_SO.3dshapes,芯片封装_SO.3dshapes
Package_SON.3dshapes,芯片封装_SON.3dshapes
Package_TO_SOT_SMD.3dshapes,芯片封装_TO-SOT_贴片.3dshapes
Package_TO_SOT_THT.3dshapes,芯片封装_TO-SOT_通孔.3dshapes
Potentiometer_SMD.3dshapes,电位器_贴片.3dshapes
Potentiometer_THT.3dshapes,电位器_通孔.3dshapes
Relay_SMD.3dshapes,继电器_贴片.3dshapes
Relay_THT.3dshapes,继电器_通孔.3dshapes
Resistor_SMD.3dshapes,电阻_贴片.3dshapes
Resistor_THT.3dshapes,电阻_通孔.3dshapes
